case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
268.0,no checking,existing paid,radio/tv,1533.0,<100,<1,female div/sep/mar,38.0,skilled,good
269.0,<0,existing paid,new car,8978.0,<100,>=7,male div/sep,45.0,high qualif/self emp/mgmt,bad
270.0,no checking,existing paid,radio/tv,999.0,no known savings,>=7,male single,25.0,skilled,good
271.0,no checking,existing paid,new car,2662.0,no known savings,4<=X<7,male single,32.0,skilled,good
272.0,no checking,critical/other existing credit,furniture/equipment,1402.0,500<=X<1000,4<=X<7,female div/sep/mar,37.0,skilled,good
273.0,0<=X<200,all paid,new car,12169.0,no known savings,unemployed,male single,36.0,high qualif/self emp/mgmt,good
274.0,0<=X<200,existing paid,radio/tv,3060.0,<100,4<=X<7,male single,28.0,skilled,bad
275.0,<0,existing paid,repairs,11998.0,<100,<1,male div/sep,34.0,unskilled resident,bad
276.0,no checking,existing paid,radio/tv,2697.0,<100,1<=X<4,male single,32.0,skilled,good
277.0,no checking,critical/other existing credit,radio/tv,2404.0,<100,1<=X<4,female div/sep/mar,26.0,skilled,good
278.0,<0,existing paid,furniture/equipment,1262.0,no known savings,>=7,male div/sep,49.0,unskilled resident,good
279.0,no checking,existing paid,furniture/equipment,4611.0,<100,<1,female div/sep/mar,32.0,skilled,bad
280.0,no checking,existing paid,radio/tv,1901.0,100<=X<500,1<=X<4,male single,29,high qualif/self emp/mgmt,good
281.0,no checking,critical/other existing credit,used car,3368.0,>=1000,>=7,male single,23.0,skilled,good
282.0,no checking,existing paid,furniture/equipment,1574.0,<100,1<=X<4,male single,50.0,skilled,good
283.0,>=200,all paid,radio/tv,1445.0,no known savings,4<=X<7,male single,49.0,unskilled resident,good
284.0,no checking,critical/other existing credit,furniture/equipment,1520.0,no known savings,>=7,male single,63.0,skilled,good
285.0,0<=X<200,critical/other existing credit,new car,3878.0,100<=X<500,<1,male div/sep,37.0,skilled,good
286.0,<0,existing paid,new car,10722.0,<100,<1,female div/sep/mar,35.0,unskilled resident,good
287.0,<0,existing paid,used car,4788.0,<100,4<=X<7,male single,26.0,skilled,good
288.0,0<=X<200,delayed previously,other,7582.0,100<=X<500,unemployed,male single,31.0,high qualif/self emp/mgmt,good
289.0,0<=X<200,existing paid,radio/tv,1092.0,<100,1<=X<4,female div/sep/mar,49.0,skilled,good
290.0,<0,delayed previously,radio/tv,1024.0,<100,<1,male mar/wid,48.0,skilled,bad
291.0,no checking,existing paid,business,1076.0,<100,1<=X<4,male mar/wid,26.0,skilled,good
292.0,0<=X<200,existing paid,used car,9398.0,<100,<1,male mar/wid,28.0,high qualif/self emp/mgmt,bad
293.0,<0,critical/other existing credit,used car,6419.0,<100,>=7,female div/sep/mar,44.0,high qualif/self emp/mgmt,good
294.0,>=200,critical/other existing credit,used car,4796.0,<100,>=7,male single,56.0,skilled,good
295.0,no checking,critical/other existing credit,business,7629.0,no known savings,>=7,male div/sep,46.0,high qualif/self emp/mgmt,good
296.0,0<=X<200,existing paid,furniture/equipment,9960.0,<100,<1,female div/sep/mar,26.0,skilled,bad
297.0,no checking,existing paid,used car,4675.0,no known savings,<1,female div/sep/mar,20.0,skilled,good
298.0,no checking,existing paid,new car,1287.0,no known savings,>=7,male single,45.0,unskilled resident,good
299.0,no checking,existing paid,furniture/equipment,2515.0,<100,1<=X<4,male single,43.0,skilled,good
300.0,0<=X<200,critical/other existing credit,furniture/equipment,2745.0,>=1000,4<=X<7,male single,32.0,skilled,good
301.0,no checking,existing paid,new car,672.0,<100,unemployed,female div/sep/mar,54.0,unemp/unskilled non res,good
302.0,0<=X<200,no credits/all paid,radio/tv,3804.0,<100,1<=X<4,female div/sep/mar,42.0,skilled,bad
303.0,>=200,critical/other existing credit,new car,1344.0,no known savings,4<=X<7,male single,37.0,unskilled resident,bad
304.0,<0,critical/other existing credit,new car,1038.0,<100,4<=X<7,male single,49.0,skilled,good
305.0,no checking,critical/other existing credit,new car,10127.0,500<=X<1000,1<=X<4,male single,44,skilled,bad
306.0,no checking,existing paid,furniture/equipment,1543.0,>=1000,1<=X<4,male div/sep,33.0,skilled,good
307.0,no checking,existing paid,used car,4811.0,no known savings,4<=X<7,female div/sep/mar,24.0,unskilled resident,good
308.0,<0,existing paid,radio/tv,727.0,100<=X<500,<1,male mar/wid,33.0,unskilled resident,bad
309.0,0<=X<200,existing paid,furniture/equipment,1237.0,<100,1<=X<4,female div/sep/mar,24.0,skilled,bad
310.0,0<=X<200,existing paid,new car,276.0,<100,1<=X<4,male mar/wid,22.0,unskilled resident,good
311.0,0<=X<200,existing paid,other,5381.0,no known savings,unemployed,male single,40.0,unemp/unskilled non res,good
312.0,no checking,existing paid,furniture/equipment,5511.0,100<=X<500,1<=X<4,male single,25.0,skilled,good
313.0,>=200,existing paid,furniture/equipment,3749.0,<100,<1,female div/sep/mar,26.0,skilled,good
314.0,0<=X<200,existing paid,new car,685.0,<100,4<=X<7,male mar/wid,25.0,unskilled resident,bad
315.0,>=200,existing paid,new car,1494.0,no known savings,<1,male single,29.0,unskilled resident,good
316.0,<0,all paid,furniture/equipment,2746.0,<100,>=7,male single,31.0,skilled,bad
317.0,<0,existing paid,furniture/equipment,708.0,<100,1<=X<4,male single,38.0,unskilled resident,good
318.0,0<=X<200,existing paid,furniture/equipment,4351.0,no known savings,1<=X<4,female div/sep/mar,48.0,unskilled resident,good
319.0,no checking,critical/other existing credit,education,701.0,<100,1<=X<4,male single,32.0,skilled,good
320.0,<0,delayed previously,furniture/equipment,3643.0,<100,>=7,female div/sep/mar,27.0,unskilled resident,good
321.0,0<=X<200,critical/other existing credit,new car,4249.0,<100,unemployed,male mar/wid,28.0,high qualif/self emp/mgmt,bad
322.0,<0,existing paid,radio/tv,1938.0,<100,<1,male div/sep,32.0,skilled,bad
323.0,<0,existing paid,used car,2910.0,<100,4<=X<7,male single,34.0,high qualif/self emp/mgmt,good
324.0,<0,existing paid,furniture/equipment,2659.0,>=1000,1<=X<4,male single,28.0,skilled,good
325.0,no checking,critical/other existing credit,new car,1028.0,<100,1<=X<4,female div/sep/mar,36.0,skilled,good
326.0,<0,critical/other existing credit,new car,3398.0,<100,4<=X<7,male single,39.0,unskilled resident,good
327.0,no checking,critical/other existing credit,furniture/equipment,5801.0,no known savings,>=7,male single,49.0,skilled,good
328.0,no checking,existing paid,new car,1525.0,>=1000,4<=X<7,female div/sep/mar,34.0,skilled,good
329.0,>=200,existing paid,radio/tv,4473.0,<100,>=7,male single,31.0,skilled,good
330.0,0<=X<200,existing paid,radio/tv,1068.0,<100,>=7,male single,28.0,skilled,good
331.0,<0,critical/other existing credit,used car,6615.0,<100,unemployed,male single,75.0,high qualif/self emp/mgmt,good
332.0,no checking,critical/other existing credit,education,1864.0,100<=X<500,1<=X<4,female div/sep/mar,30.0,skilled,bad
333.0,0<=X<200,existing paid,new car,7408.0,100<=X<500,<1,female div/sep/mar,24,high qualif/self emp/mgmt,bad
334.0,no checking,critical/other existing credit,used car,11590.0,100<=X<500,1<=X<4,female div/sep/mar,24.0,unskilled resident,bad
335.0,<0,no credits/all paid,furniture/equipment,4110.0,<100,>=7,male single,23.0,skilled,bad
336.0,<0,critical/other existing credit,furniture/equipment,3384.0,<100,1<=X<4,male div/sep,44.0,high qualif/self emp/mgmt,bad
337.0,0<=X<200,existing paid,radio/tv,2101.0,<100,<1,female div/sep/mar,23.0,unskilled resident,good
338.0,<0,existing paid,domestic appliance,1275.0,no known savings,1<=X<4,female div/sep/mar,24.0,skilled,bad
339.0,<0,existing paid,furniture/equipment,4169.0,<100,1<=X<4,male single,28.0,skilled,good
340.0,0<=X<200,existing paid,furniture/equipment,1521.0,<100,1<=X<4,male div/sep,31.0,unskilled resident,good
341.0,0<=X<200,critical/other existing credit,education,5743.0,<100,<1,female div/sep/mar,24.0,skilled,good
342.0,<0,existing paid,furniture/equipment,3599.0,<100,4<=X<7,female div/sep/mar,26.0,unskilled resident,good
343.0,0<=X<200,existing paid,radio/tv,3213.0,500<=X<1000,<1,male mar/wid,25.0,skilled,good
344.0,0<=X<200,existing paid,business,4439.0,<100,>=7,male single,33.0,high qualif/self emp/mgmt,good
345.0,>=200,existing paid,new car,3949.0,<100,<1,male single,37.0,unskilled resident,good
346.0,no checking,critical/other existing credit,radio/tv,1459.0,<100,1<=X<4,female div/sep/mar,43.0,unskilled resident,good
347.0,0<=X<200,critical/other existing credit,radio/tv,882.0,<100,<1,male single,23.0,skilled,good
348.0,0<=X<200,existing paid,radio/tv,3758.0,500<=X<1000,unemployed,female div/sep/mar,23.0,unemp/unskilled non res,good
349.0,no checking,delayed previously,business,1743.0,100<=X<500,1<=X<4,male single,34.0,unskilled resident,good
350.0,0<=X<200,critical/other existing credit,education,1136.0,>=1000,>=7,male single,32.0,skilled,bad
351.0,no checking,existing paid,domestic appliance,1236.0,<100,<1,female div/sep/mar,23.0,skilled,good
352.0,0<=X<200,existing paid,furniture/equipment,959.0,<100,1<=X<4,female div/sep/mar,29.0,skilled,bad
353.0,no checking,critical/other existing credit,used car,3229.0,no known savings,unemployed,male single,38.0,high qualif/self emp/mgmt,good
354.0,<0,no credits/all paid,radio/tv,6199.0,<100,1<=X<4,male single,28.0,skilled,bad
355.0,no checking,existing paid,education,727.0,500<=X<1000,>=7,male single,46.0,skilled,good
356.0,0<=X<200,existing paid,new car,1246.0,<100,<1,male single,23.0,unskilled resident,bad
357.0,no checking,critical/other existing credit,radio/tv,2331.0,no known savings,>=7,male single,49.0,skilled,good
358.0,no checking,delayed previously,radio/tv,4463.0,<100,1<=X<4,male single,26.0,high qualif/self emp/mgmt,bad
359.0,no checking,existing paid,radio/tv,776.0,<100,1<=X<4,male mar/wid,28.0,skilled,good
360.0,<0,existing paid,furniture/equipment,2406.0,<100,4<=X<7,female div/sep/mar,23.0,skilled,bad
361.0,0<=X<200,existing paid,education,1239.0,no known savings,1<=X<4,male single,61.0,skilled,good
362.0,>=200,existing paid,radio/tv,3399.0,no known savings,>=7,male single,37.0,high qualif/self emp/mgmt,good
363.0,>=200,delayed previously,new car,2247.0,<100,1<=X<4,female div/sep/mar,36.0,skilled,good
364.0,no checking,existing paid,furniture/equipment,1766.0,<100,1<=X<4,male mar/wid,21.0,skilled,good
365.0,<0,existing paid,furniture/equipment,2473.0,<100,unemployed,male single,25.0,unemp/unskilled non res,bad
366.0,no checking,existing paid,business,1542.0,<100,4<=X<7,male single,36.0,skilled,good
367.0,no checking,critical/other existing credit,used car,3850.0,<100,4<=X<7,male single,27.0,skilled,good
368.0,<0,existing paid,furniture/equipment,3650.0,<100,<1,female div/sep/mar,22.0,skilled,good
369.0,<0,existing paid,furniture/equipment,3446.0,<100,>=7,male single,42.0,skilled,bad
370.0,0<=X<200,existing paid,furniture/equipment,3001.0,<100,4<=X<7,female div/sep/mar,40.0,skilled,good
371.0,no checking,existing paid,new car,3079.0,no known savings,1<=X<4,male single,36.0,skilled,good
372.0,no checking,critical/other existing credit,radio/tv,6070.0,<100,>=7,male single,33.0,skilled,good
373.0,no checking,critical/other existing credit,furniture/equipment,2146.0,<100,<1,female div/sep/mar,23.0,skilled,good
374.0,no checking,critical/other existing credit,new car,13756.0,no known savings,>=7,male single,63.0,high qualif/self emp/mgmt,good
375.0,0<=X<200,all paid,other,14782.0,100<=X<500,>=7,female div/sep/mar,60.0,high qualif/self emp/mgmt,bad
376.0,<0,all paid,business,7685.0,<100,4<=X<7,female div/sep/mar,37.0,skilled,bad
377.0,no checking,delayed previously,radio/tv,2320.0,<100,unemployed,male mar/wid,34.0,skilled,good
378.0,no checking,delayed previously,radio/tv,846.0,no known savings,>=7,male single,36.0,skilled,good
379.0,0<=X<200,existing paid,new car,14318.0,<100,>=7,male single,57.0,high qualif/self emp/mgmt,bad
380.0,no checking,critical/other existing credit,new car,362.0,100<=X<500,1<=X<4,female div/sep/mar,52.0,unskilled resident,good
381.0,<0,existing paid,furniture/equipment,2212.0,no known savings,4<=X<7,male single,39.0,skilled,good
382.0,0<=X<200,existing paid,used car,12976.0,<100,unemployed,female div/sep/mar,38.0,high qualif/self emp/mgmt,bad
383.0,no checking,existing paid,new car,1283.0,no known savings,4<=X<7,female div/sep/mar,25.0,skilled,good
384.0,>=200,existing paid,new car,1330.0,<100,<1,male single,26.0,skilled,good
385.0,no checking,delayed previously,business,4272.0,100<=X<500,1<=X<4,male single,26.0,unskilled resident,good
386.0,no checking,critical/other existing credit,radio/tv,2238.0,<100,1<=X<4,female div/sep/mar,25.0,skilled,good
387.0,no checking,existing paid,radio/tv,1126.0,no known savings,<1,female div/sep/mar,21.0,skilled,good
388.0,0<=X<200,critical/other existing credit,furniture/equipment,7374.0,<100,unemployed,male single,40.0,high qualif/self emp/mgmt,good
389.0,0<=X<200,critical/other existing credit,business,2326.0,500<=X<1000,1<=X<4,male single,27.0,skilled,good
390.0,no checking,existing paid,business,1449.0,<100,4<=X<7,female div/sep/mar,27.0,skilled,good
391.0,no checking,existing paid,new car,1820.0,<100,1<=X<4,male mar/wid,30.0,high qualif/self emp/mgmt,good
392.0,0<=X<200,existing paid,furniture/equipment,983.0,>=1000,<1,female div/sep/mar,19.0,unskilled resident,good
393.0,<0,existing paid,new car,3249.0,<100,4<=X<7,male single,39.0,high qualif/self emp/mgmt,good
394.0,<0,critical/other existing credit,radio/tv,1957.0,<100,4<=X<7,female div/sep/mar,31.0,skilled,good
395.0,no checking,critical/other existing credit,furniture/equipment,2406.0,<100,unemployed,male single,31.0,high qualif/self emp/mgmt,good
396.0,0<=X<200,delayed previously,education,11760.0,100<=X<500,4<=X<7,male single,32.0,skilled,good
397.0,<0,existing paid,furniture/equipment,2578.0,<100,unemployed,female div/sep/mar,55.0,high qualif/self emp/mgmt,good
398.0,<0,critical/other existing credit,furniture/equipment,2348.0,<100,1<=X<4,male mar/wid,46.0,skilled,good
399.0,0<=X<200,existing paid,new car,1223.0,<100,>=7,male div/sep,46.0,skilled,bad
400.0,no checking,critical/other existing credit,radio/tv,1516.0,>=1000,1<=X<4,female div/sep/mar,43.0,unskilled resident,good
401.0,no checking,existing paid,radio/tv,1473.0,<100,<1,male mar/wid,39.0,skilled,good
402.0,0<=X<200,critical/other existing credit,business,1887.0,no known savings,1<=X<4,male mar/wid,28.0,skilled,good
403.0,no checking,delayed previously,business,8648.0,<100,<1,male single,27.0,skilled,bad
404.0,no checking,delayed previously,new car,802.0,<100,1<=X<4,male single,27.0,unskilled resident,good
405.0,0<=X<200,delayed previously,new car,2899.0,no known savings,>=7,male single,43.0,skilled,good
406.0,0<=X<200,existing paid,radio/tv,2039.0,<100,<1,male mar/wid,22.0,skilled,bad
407.0,no checking,critical/other existing credit,used car,2197.0,no known savings,4<=X<7,male single,43.0,skilled,good
408.0,<0,existing paid,radio/tv,1053.0,<100,<1,male mar/wid,27.0,skilled,good
409.0,no checking,existing paid,radio/tv,3235.0,500<=X<1000,>=7,male div/sep,26.0,high qualif/self emp/mgmt,good
410.0,>=200,critical/other existing credit,new car,939.0,500<=X<1000,4<=X<7,male mar/wid,28.0,skilled,bad
411.0,0<=X<200,existing paid,radio/tv,1967.0,<100,>=7,female div/sep/mar,20.0,skilled,good
412.0,no checking,critical/other existing credit,used car,7253.0,<100,4<=X<7,male single,35.0,high qualif/self emp/mgmt,good
413.0,no checking,critical/other existing credit,business,2292.0,<100,unemployed,male single,42.0,high qualif/self emp/mgmt,bad
414.0,no checking,existing paid,new car,1597.0,500<=X<1000,1<=X<4,male single,40.0,unskilled resident,good
415.0,<0,existing paid,new car,1381.0,no known savings,1<=X<4,female div/sep/mar,35.0,skilled,bad
416.0,no checking,critical/other existing credit,used car,5842.0,<100,>=7,male single,35.0,skilled,good
417.0,<0,existing paid,new car,2579.0,<100,<1,male single,33.0,unskilled resident,bad
418.0,<0,delayed previously,education,8471.0,no known savings,1<=X<4,female div/sep/mar,23.0,skilled,good
419.0,no checking,existing paid,new car,2782.0,500<=X<1000,4<=X<7,female div/sep/mar,31.0,high qualif/self emp/mgmt,good
420.0,0<=X<200,existing paid,new car,1042.0,no known savings,1<=X<4,female div/sep/mar,33.0,skilled,bad
421.0,no checking,existing paid,new car,3186.0,>=1000,4<=X<7,female div/sep/mar,20.0,skilled,good
422.0,0<=X<200,existing paid,used car,2028.0,no known savings,1<=X<4,male single,30.0,skilled,good
423.0,0<=X<200,critical/other existing credit,new car,958.0,<100,4<=X<7,male single,47.0,unskilled resident,good
424.0,no checking,delayed previously,furniture/equipment,1591.0,100<=X<500,4<=X<7,male single,34.0,high qualif/self emp/mgmt,good
425.0,0<=X<200,existing paid,furniture/equipment,2762.0,no known savings,>=7,female div/sep/mar,25.0,skilled,bad
426.0,0<=X<200,existing paid,used car,2779.0,<100,1<=X<4,male mar/wid,21.0,skilled,good
427.0,no checking,critical/other existing credit,radio/tv,2743.0,<100,>=7,male single,29.0,skilled,good
428.0,no checking,critical/other existing credit,radio/tv,1149.0,>=1000,1<=X<4,male single,46.0,skilled,good
429.0,no checking,existing paid,furniture/equipment,1313.0,<100,>=7,male single,20.0,skilled,good
430.0,<0,critical/other existing credit,repairs,1190.0,<100,unemployed,female div/sep/mar,55.0,unemp/unskilled non res,bad
431.0,no checking,existing paid,business,3448.0,<100,4<=X<7,male single,74.0,unskilled resident,good
432.0,0<=X<200,existing paid,other,13280,<100,1<=X<4,male single,29.0,high qualif/self emp/mgmt,bad
433.0,<0,critical/other existing credit,furniture/equipment,1872.0,<100,unemployed,male single,36.0,high qualif/self emp/mgmt,good
434.0,no checking,critical/other existing credit,repairs,2058.0,<100,1<=X<4,male div/sep,33.0,skilled,good
435.0,<0,existing paid,furniture/equipment,2136.0,<100,1<=X<4,male single,25.0,skilled,good
436.0,0<=X<200,existing paid,radio/tv,1484.0,no known savings,1<=X<4,male mar/wid,25.0,skilled,bad
437.0,no checking,existing paid,repairs,660.0,500<=X<1000,4<=X<7,male mar/wid,23.0,unskilled resident,good
438.0,no checking,critical/other existing credit,new car,1287.0,>=1000,>=7,female div/sep/mar,37.0,skilled,good
439.0,<0,critical/other existing credit,repairs,3394.0,<100,unemployed,male single,65.0,unemp/unskilled non res,good
440.0,>=200,all paid,business,609.0,<100,<1,female div/sep/mar,26.0,unemp/unskilled non res,bad
441.0,no checking,existing paid,new car,1884.0,<100,>=7,male single,39.0,high qualif/self emp/mgmt,good
442.0,<0,existing paid,furniture/equipment,1620.0,<100,1<=X<4,female div/sep/mar,30.0,skilled,good
443.0,0<=X<200,delayed previously,other,2629.0,<100,1<=X<4,male single,29.0,skilled,good
444.0,no checking,existing paid,education,7190,<100,>=7,male single,41.0,unskilled resident,bad
445.0,0<=X<200,critical/other existing credit,furniture/equipment,5096.0,<100,1<=X<4,female div/sep/mar,30.0,high qualif/self emp/mgmt,bad
446.0,no checking,critical/other existing credit,education,1244.0,no known savings,>=7,female div/sep/mar,41.0,unskilled resident,good
447.0,<0,existing paid,new car,1842.0,<100,<1,female div/sep/mar,34.0,skilled,bad
448.0,0<=X<200,existing paid,radio/tv,2576.0,<100,1<=X<4,male single,35,skilled,good
449.0,>=200,existing paid,furniture/equipment,1424.0,no known savings,>=7,female div/sep/mar,55.0,high qualif/self emp/mgmt,good
450.0,0<=X<200,delayed previously,repairs,1512.0,>=1000,1<=X<4,male mar/wid,61.0,skilled,bad
451.0,no checking,critical/other existing credit,used car,11054.0,no known savings,1<=X<4,male single,30.0,high qualif/self emp/mgmt,good
452.0,no checking,existing paid,radio/tv,5180,<100,1<=X<4,female div/sep/mar,29.0,skilled,good
453.0,no checking,no credits/all paid,furniture/equipment,2759.0,<100,>=7,male single,34.0,skilled,good
454.0,no checking,existing paid,used car,2670.0,<100,>=7,male single,35.0,high qualif/self emp/mgmt,good
455.0,<0,existing paid,new car,4817.0,<100,4<=X<7,male single,31.0,skilled,bad
456.0,no checking,existing paid,used car,2679.0,<100,<1,female div/sep/mar,29.0,high qualif/self emp/mgmt,good
457.0,<0,critical/other existing credit,new car,3905.0,<100,1<=X<4,male single,36.0,skilled,good
458.0,<0,existing paid,used car,3386.0,<100,>=7,male single,35.0,skilled,bad
459.0,<0,existing paid,domestic appliance,343.0,<100,<1,female div/sep/mar,27.0,skilled,good
460.0,no checking,existing paid,radio/tv,4594.0,<100,<1,male single,32.0,skilled,good
461.0,<0,existing paid,furniture/equipment,3620.0,<100,1<=X<4,male single,37.0,skilled,good
462.0,<0,existing paid,new car,1721.0,<100,<1,male single,36.0,skilled,good
463.0,0<=X<200,existing paid,furniture/equipment,3017.0,<100,<1,female div/sep/mar,34.0,high qualif/self emp/mgmt,good
464.0,0<=X<200,existing paid,retraining,754.0,no known savings,>=7,male single,38.0,skilled,good
465.0,no checking,existing paid,business,1950.0,<100,4<=X<7,male single,34.0,skilled,good
466.0,<0,existing paid,used car,2924.0,<100,1<=X<4,male single,63.0,skilled,good
467.0,<0,delayed previously,radio/tv,1659.0,<100,<1,female div/sep/mar,29.0,unskilled resident,bad
468.0,no checking,delayed previously,radio/tv,7238.0,no known savings,>=7,male single,32.0,skilled,good
469.0,no checking,delayed previously,business,2764.0,<100,1<=X<4,female div/sep/mar,26.0,skilled,good
470.0,no checking,delayed previously,used car,4679.0,<100,4<=X<7,male single,35.0,unskilled resident,good
471.0,0<=X<200,existing paid,radio/tv,3092.0,100<=X<500,<1,male mar/wid,22.0,skilled,bad
472.0,<0,existing paid,education,448.0,<100,<1,female div/sep/mar,23.0,skilled,bad
473.0,<0,existing paid,new car,654.0,<100,1<=X<4,male single,28.0,unskilled resident,bad
474.0,no checking,existing paid,retraining,1238.0,no known savings,unemployed,male single,36.0,high qualif/self emp/mgmt,good
475.0,0<=X<200,critical/other existing credit,radio/tv,1245.0,<100,1<=X<4,male mar/wid,33.0,skilled,bad
476.0,<0,no credits/all paid,furniture/equipment,3114.0,<100,<1,female div/sep/mar,26.0,skilled,bad
477.0,no checking,existing paid,used car,2569.0,500<=X<1000,1<=X<4,male single,24.0,skilled,good
478.0,>=200,existing paid,radio/tv,5152.0,<100,4<=X<7,male single,25.0,skilled,good
479.0,0<=X<200,existing paid,business,1037.0,100<=X<500,4<=X<7,male single,39.0,unskilled resident,good
480.0,<0,critical/other existing credit,furniture/equipment,1478.0,<100,>=7,male single,44.0,skilled,good
481.0,0<=X<200,critical/other existing credit,radio/tv,3573.0,<100,1<=X<4,female div/sep/mar,23.0,unskilled resident,good
482.0,0<=X<200,existing paid,new car,1201.0,<100,<1,male single,26.0,skilled,good
483.0,<0,existing paid,furniture/equipment,3622.0,>=1000,>=7,female div/sep/mar,57.0,skilled,good
484.0,no checking,delayed previously,furniture/equipment,960.0,>=1000,4<=X<7,female div/sep/mar,30.0,skilled,good
485.0,no checking,critical/other existing credit,new car,1163.0,500<=X<1000,1<=X<4,male single,44.0,skilled,good
486.0,0<=X<200,delayed previously,new car,1209.0,<100,unemployed,male single,47.0,high qualif/self emp/mgmt,bad
487.0,no checking,existing paid,radio/tv,3077.0,<100,1<=X<4,male single,52.0,skilled,good
488.0,no checking,existing paid,new car,3757.0,<100,>=7,female div/sep/mar,62.0,skilled,good
489.0,no checking,existing paid,new car,1418.0,100<=X<500,1<=X<4,male single,35.0,unskilled resident,good
490.0,no checking,existing paid,new car,3518.0,<100,1<=X<4,male single,26.0,skilled,good
491.0,no checking,critical/other existing credit,radio/tv,1934.0,<100,>=7,male single,26.0,skilled,good
492.0,0<=X<200,no credits/all paid,business,8318.0,<100,>=7,female div/sep/mar,42.0,high qualif/self emp/mgmt,bad
493.0,no checking,critical/other existing credit,radio/tv,1237.0,100<=X<500,1<=X<4,female div/sep/mar,27.0,skilled,good
494.0,0<=X<200,existing paid,radio/tv,368.0,no known savings,>=7,male single,38.0,skilled,good
495.0,<0,critical/other existing credit,new car,2122.0,<100,1<=X<4,male single,39.0,unskilled resident,good
496.0,<0,existing paid,furniture/equipment,2996.0,no known savings,1<=X<4,male mar/wid,20.0,skilled,bad
497.0,0<=X<200,existing paid,furniture/equipment,9034.0,100<=X<500,<1,male single,29.0,high qualif/self emp/mgmt,bad
498.0,no checking,critical/other existing credit,furniture/equipment,1585.0,<100,4<=X<7,male single,40.0,skilled,good
499.0,0<=X<200,existing paid,radio/tv,1301.0,<100,>=7,male mar/wid,32.0,unskilled resident,good
500.0,>=200,critical/other existing credit,new car,1323.0,100<=X<500,>=7,male div/sep,28.0,skilled,good
501.0,<0,existing paid,new car,3123.0,<100,<1,female div/sep/mar,27.0,skilled,bad
502.0,<0,existing paid,used car,5493.0,<100,>=7,male single,42.0,skilled,good
503.0,>=200,existing paid,radio/tv,1126.0,100<=X<500,>=7,male div/sep,49.0,skilled,good
504.0,0<=X<200,critical/other existing credit,radio/tv,1216.0,100<=X<500,<1,male single,38.0,skilled,bad
505.0,<0,existing paid,new car,1207.0,<100,<1,female div/sep/mar,24.0,skilled,bad
506.0,no checking,existing paid,new car,1309.0,no known savings,1<=X<4,male single,27.0,unskilled resident,bad
507.0,>=200,critical/other existing credit,used car,2360.0,500<=X<1000,1<=X<4,male single,36.0,skilled,good
508.0,0<=X<200,all paid,new car,6850.0,100<=X<500,unemployed,male single,34.0,high qualif/self emp/mgmt,bad
509.0,no checking,existing paid,radio/tv,1413.0,<100,1<=X<4,male mar/wid,28.0,skilled,good
510.0,no checking,existing paid,used car,8588.0,100<=X<500,>=7,male single,45.0,high qualif/self emp/mgmt,good
511.0,<0,existing paid,new car,759.0,<100,4<=X<7,male single,26.0,skilled,bad
512.0,no checking,existing paid,used car,4686.0,<100,1<=X<4,male single,32.0,high qualif/self emp/mgmt,good
513.0,>=200,existing paid,business,2687.0,<100,4<=X<7,male single,26.0,skilled,good
514.0,0<=X<200,delayed previously,radio/tv,5850,<100,1<=X<4,male mar/wid,20.0,skilled,good
515.0,no checking,existing paid,new car,2255.0,no known savings,<1,male single,54.0,skilled,good
516.0,<0,critical/other existing credit,new car,609.0,<100,4<=X<7,female div/sep/mar,37.0,skilled,good
517.0,<0,critical/other existing credit,new car,1361.0,<100,<1,male single,40.0,unskilled resident,good
518.0,no checking,critical/other existing credit,furniture/equipment,7127.0,<100,<1,female div/sep/mar,23.0,skilled,bad
519.0,<0,existing paid,new car,1203.0,100<=X<500,>=7,male single,43.0,skilled,good
520.0,no checking,critical/other existing credit,radio/tv,700.0,no known savings,>=7,male single,36.0,skilled,good
521.0,no checking,critical/other existing credit,repairs,5507.0,<100,>=7,male single,44.0,skilled,good
522.0,<0,existing paid,radio/tv,3190.0,<100,1<=X<4,female div/sep/mar,24.0,skilled,bad
523.0,<0,no credits/all paid,furniture/equipment,7119.0,<100,1<=X<4,male single,53.0,skilled,bad
524.0,no checking,existing paid,used car,3488.0,100<=X<500,4<=X<7,female div/sep/mar,23.0,skilled,good
525.0,0<=X<200,existing paid,radio/tv,1113.0,<100,1<=X<4,female div/sep/mar,26.0,unskilled resident,good
526.0,0<=X<200,existing paid,used car,7966.0,<100,<1,male single,30.0,skilled,good
527.0,no checking,critical/other existing credit,education,1532.0,100<=X<500,1<=X<4,female div/sep/mar,31.0,skilled,good
528.0,no checking,critical/other existing credit,radio/tv,1503.0,<100,4<=X<7,male single,42.0,unskilled resident,good
529.0,<0,existing paid,radio/tv,2302.0,<100,1<=X<4,male div/sep,31.0,skilled,bad
530.0,<0,existing paid,new car,662.0,<100,<1,male single,41.0,unskilled resident,good
531.0,0<=X<200,existing paid,education,2273.0,<100,4<=X<7,male single,32.0,skilled,good
532.0,0<=X<200,existing paid,new car,2631.0,100<=X<500,1<=X<4,female div/sep/mar,28.0,skilled,bad
533.0,no checking,delayed previously,used car,1503.0,<100,1<=X<4,male mar/wid,41.0,skilled,good
534.0,no checking,existing paid,radio/tv,1311.0,100<=X<500,4<=X<7,male mar/wid,26.0,skilled,good
